Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Cancellation Impact
Doddagollarahatti,"98,783","97,839","61,840","54,233",53145.0,"38,065",99.0%,63.2%,87.7%,98.0%,15069.0,28.3%,38.5%,"₹61,48,958",9.0,₹151.89,"3,69,997",28.354501834603447
T Dasarahalli,"1,16,879","1,16,132","81,881","62,233",61128.0,"37,945",99.4%,70.5%,76.0%,98.2%,23152.0,37.9%,32.5%,"₹44,28,407",6.41,₹115.27,"2,48,636",37.87462374034812
Vidyapeeta ward,"98,218","97,305","72,769","57,004",55960.0,"37,832",99.1%,74.8%,78.3%,98.2%,18111.0,32.4%,38.5%,"₹44,05,252",6.19,₹112.18,"2,47,727",32.36418870621873
Chamundi Nagara,"1,09,038","1,08,468","82,395","56,986",56063.0,"37,616",99.5%,76.0%,69.2%,98.4%,18434.0,32.9%,34.5%,"₹46,34,638",5.79,₹108.06,"2,58,432",32.88086616841767
Atturu Layout,"1,06,263","1,05,338","71,258","55,686",54548.0,"37,150",99.1%,67.6%,78.1%,98.0%,17385.0,31.9%,35.0%,"₹62,54,460",9.0,₹169.54,"3,72,076",31.87101268607465
J P Park,"1,07,208","1,06,388","77,661","55,905",54791.0,"37,081",99.2%,73.0%,72.0%,98.0%,17699.0,32.3%,34.6%,"₹49,36,530",6.65,₹119.43,"2,84,992",32.30275045171652
Nagarabhavi,"87,574","86,839","60,510","52,907",51678.0,"36,747",99.2%,69.7%,87.4%,97.7%,14920.0,28.9%,42.0%,"₹50,50,626",7.73,₹134.74,"2,95,639",28.87108634235071
Marenahalli,"83,523","82,785","56,507","51,111",49970.0,"36,141",99.1%,68.3%,90.5%,97.8%,13815.0,27.7%,43.3%,"₹43,40,983",7.04,₹124.10,"2,48,263",27.64658795277166
Dr. Raj Kumar Ward,"89,477","88,660","61,954","52,508",51412.0,"35,829",99.1%,69.9%,84.8%,97.9%,15561.0,30.3%,40.0%,"₹45,10,924",7.15,₹126.07,"2,57,641",30.267252781451802
Jaraganahalli,"1,10,924","1,10,009","85,970","59,511",58207.0,"35,674",99.2%,78.1%,69.2%,97.8%,22518.0,38.7%,32.2%,"₹40,62,345",6.79,₹121.30,"2,25,413",38.686068685896885
Chickpete,"1,85,488","1,83,645","1,50,079","93,173",92089.0,"34,980",99.0%,81.7%,62.1%,98.8%,57078.0,62.0%,18.9%,"₹58,08,054",9.79,₹167.33,"3,40,988",61.9813441344786
Gali Anjenaya Temple ward,"1,04,178","1,03,308","65,657","55,007",54258.0,"34,405",99.2%,63.6%,83.8%,98.6%,19834.0,36.5%,33.0%,"₹50,59,895",8.23,₹144.08,"2,88,389",36.554978067750376
Vannarapete,"99,365","98,763","79,376","50,576",49797.0,"33,723",99.4%,80.4%,63.7%,98.5%,16070.0,32.3%,33.9%,"₹40,82,537",6.51,₹117.94,"2,27,962",32.271020342590916
Kammanahalli,"1,11,511","1,10,898","87,583","55,916",55260.0,"33,576",99.5%,79.0%,63.8%,98.8%,21666.0,39.2%,30.1%,"₹44,12,131",6.67,₹121.53,"2,48,871",39.207383279044514
Defence Colony,"1,13,502","1,12,831","80,837","56,497",55754.0,"33,207",99.4%,71.6%,69.9%,98.7%,22522.0,40.4%,29.3%,"₹38,57,800",6.09,₹111.03,"2,17,101",40.395307959967
Kushal Nagar,"1,06,911","1,06,401","82,697","52,289",51701.0,"32,787",99.5%,77.7%,63.2%,98.9%,18908.0,36.6%,30.7%,"₹40,58,575",6.48,₹118.28,"2,27,574",36.57182646370477
Rajaji Nagar,"78,766","78,002","52,276","46,245",45396.0,"32,404",99.0%,67.0%,88.5%,98.2%,12979.0,28.6%,41.1%,"₹41,07,176",6.26,₹112.33,"2,35,670",28.59062472464534
Bommanahalli,"1,52,618","1,51,217","1,22,893","55,029",54175.0,"32,011",99.1%,81.3%,44.8%,98.4%,22152.0,40.9%,21.0%,"₹44,56,835",7.35,₹132.21,"2,49,748",40.88970927549608
Vijinapura,"1,25,088","1,24,310","95,925","52,300",51728.0,"31,626",99.4%,77.2%,54.5%,98.9%,20092.0,38.8%,25.3%,"₹45,21,821",7.46,₹134.92,"2,55,491",38.84163315805753
Srinivasa Nagar,"74,452","73,908","51,573","43,303",42504.0,"31,259",99.3%,69.8%,84.0%,98.2%,11234.0,26.4%,42.0%,"₹36,41,236",6.62,₹117.91,"2,07,210",26.43045360436665
Agaram,"1,40,342","1,39,281","1,13,197","52,499",51730.0,"31,096",99.2%,81.3%,46.4%,98.5%,20624.0,39.9%,22.2%,"₹41,44,647",7.01,₹127.39,"2,29,317",39.868548231200464
Gayithri Nagar,"77,922","77,120","52,814","44,397",43591.0,"31,052",99.0%,68.5%,84.1%,98.2%,12526.0,28.7%,39.9%,"₹37,14,235",6.33,₹114.27,"2,11,782",28.7352893945998
Vijayanagara Krishnadevaraya,"79,830","79,216","51,953","45,187",44220.0,"30,360",99.2%,65.6%,87.0%,97.9%,13851.0,31.3%,38.0%,"₹40,21,673",7.41,₹127.94,"2,35,209",31.322930800542743
Kammagondanahalli,"88,813","88,177","63,366","44,948",44183.0,"30,124",99.3%,71.9%,70.9%,98.3%,14051.0,31.8%,33.9%,"₹46,42,293",8.44,₹144.22,"2,74,443",31.801824231039088
Veerabhadranagar,"83,820","83,214","58,885","46,701",45797.0,"29,394",99.3%,70.8%,79.3%,98.1%,16390.0,35.8%,35.1%,"₹33,13,096",6.11,₹109.13,"1,86,855",35.78837041727624
Bharathi Nagar,"1,13,705","1,13,062","92,076","52,147",51610.0,"28,677",99.4%,81.4%,56.6%,99.0%,22911.0,44.4%,25.2%,"₹35,77,300",6.35,₹116.49,"1,97,970",44.39255958147646
Yelachenahalli,"92,064","91,284","68,402","48,782",47953.0,"28,465",99.2%,74.9%,71.3%,98.3%,19475.0,40.6%,30.9%,"₹35,43,903",6.32,₹115.22,"1,99,914",40.61268325235126
Deen Dayalu Ward,"86,800","86,185","60,896","45,429",44423.0,"28,289",99.3%,70.7%,74.6%,97.8%,16127.0,36.3%,32.6%,"₹34,87,579",7.42,₹131.25,"1,98,272",36.3032663260023
Kadugondanahalli,"94,784","94,377","71,903","46,635",45936.0,"28,083",99.6%,76.2%,64.9%,98.5%,17837.0,38.8%,29.6%,"₹34,74,646",6.17,₹113.46,"1,93,981",38.83011145942181
Sagayarapuram,"98,658","98,158","79,329","46,502",46108.0,"28,010",99.5%,80.8%,58.6%,99.2%,18086.0,39.2%,28.4%,"₹32,70,499",5.85,₹108.30,"1,78,616",39.22529712848096
Chanakya,"96,377","95,232","57,457","46,149",44733.0,"27,699",98.8%,60.3%,80.3%,96.9%,17027.0,38.1%,28.7%,"₹38,52,559",7.52,₹136.38,"2,21,877",38.063621934589676
Shivanagara,"64,174","63,577","43,741","38,676",37977.0,"27,691",99.1%,68.8%,88.4%,98.2%,10269.0,27.0%,43.1%,"₹33,83,414",6.63,₹117.86,"1,93,984",27.04005055691603
Mahalakshimpuram,"65,516","64,850","44,936","39,445",38745.0,"27,477",99.0%,69.3%,87.8%,98.2%,11250.0,29.0%,41.9%,"₹33,70,934",6.53,₹116.34,"1,93,461",29.036004645760745
Basaveshwara Nagar,"58,527","57,844","40,053","36,905",36131.0,"27,146",98.8%,69.2%,92.1%,97.9%,8976.0,24.8%,46.4%,"₹33,50,801",7.74,₹132.38,"1,94,172",24.842932661703244
Vidyamanyanagar,"75,939","75,319","48,394","40,083",38827.0,"26,581",99.2%,64.3%,82.8%,96.9%,12238.0,31.5%,35.0%,"₹42,53,108",8.98,₹151.45,"2,55,355",31.519303577407477
Peenya,"91,034","90,256","62,590","46,109",45149.0,"26,421",99.2%,69.3%,73.7%,97.9%,18711.0,41.4%,29.0%,"₹35,43,467",7.85,₹138.30,"2,06,158",41.44277835610977
Chowdeswari Ward,"90,118","88,903","60,275","42,773",41720.0,"26,194",98.7%,67.8%,71.0%,97.5%,15518.0,37.2%,29.1%,"₹53,13,533",11.42,₹193.13,"3,22,290",37.195589645254074
Govindaraja Nagar,"56,479","55,909","37,517","34,726",33936.0,"25,734",99.0%,67.1%,92.6%,97.7%,8195.0,24.1%,45.6%,"₹33,03,480",6.92,₹122.15,"1,92,036",24.148396982555397
Maruthi Mandir ward,"59,573","59,060","39,759","36,081",35073.0,"25,648",99.1%,67.3%,90.8%,97.2%,9417.0,26.9%,43.0%,"₹33,53,990",7.65,₹133.05,"1,94,119",26.849713454794287
Kamakshipalya,"57,410","56,844","38,391","35,243",34658.0,"25,365",99.0%,67.5%,91.8%,98.3%,9284.0,26.8%,44.2%,"₹32,63,544",6.98,₹124.77,"1,89,598",26.787466097293557
Avalahalli,"67,045","66,451","46,911","38,773",37890.0,"24,789",99.1%,70.6%,82.7%,97.7%,13090.0,34.5%,37.0%,"₹33,15,008",7.5,₹132.55,"1,89,999",34.54737397730272
Banashankari Temple ward,"85,840","85,171","60,417","42,008",41326.0,"24,423",99.2%,70.9%,69.5%,98.4%,16888.0,40.9%,28.4%,"₹25,98,862",5.61,₹103.27,"1,41,898",40.865314813918594
Kadugodi,"1,14,762","1,13,298","84,957","40,959",40210.0,"24,200",98.7%,75.0%,48.2%,98.2%,16001.0,39.8%,21.1%,"₹45,37,344",8.91,₹155.22,"2,67,519",39.79358368565033
Bagalakunte,"80,540","80,086","53,963","37,043",36470.0,"23,104",99.4%,67.4%,68.7%,98.5%,13344.0,36.6%,28.7%,"₹30,01,387",6.12,₹112.39,"1,73,032",36.58897724156841
Hosahalli,"55,891","55,379","38,890","33,599",32751.0,"22,777",99.1%,70.2%,86.4%,97.5%,9970.0,30.4%,40.8%,"₹28,91,049",6.7,₹118.29,"1,67,216",30.441818570425333
Shankar Matt,"53,607","53,055","36,312","32,452",31755.0,"22,594",99.0%,68.4%,89.4%,97.9%,9155.0,28.8%,42.1%,"₹27,47,829",6.5,₹114.19,"1,58,582",28.830105495197607
Nelagadderanahalli,"70,269","69,751","52,684","33,633",33005.0,"20,820",99.3%,75.5%,63.8%,98.1%,12173.0,36.9%,29.6%,"₹27,89,659",7.24,₹125.97,"1,62,660",36.882290562036054
Dodda Bidarakallu,"75,747","75,035","49,346","34,318",33515.0,"20,643",99.1%,65.8%,69.5%,97.7%,12864.0,38.4%,27.3%,"₹33,25,375",8.39,₹144.62,"1,98,915",38.3828136655229
Vijayanagar,"54,745","54,304","37,527","30,855",30132.0,"20,474",99.2%,69.1%,82.2%,97.7%,9645.0,32.0%,37.4%,"₹22,56,693",5.67,₹102.67,"1,26,023",32.00915969733174
Prakash Nagar,"50,760","50,320","34,779","29,499",28934.0,"19,727",99.1%,69.1%,84.8%,98.1%,9197.0,31.8%,38.9%,"₹23,17,255",6.67,₹117.97,"1,31,028",31.786133960047003
Shakthi Ganapathi Nagar,"45,353","44,976","30,181","27,389",26831.0,"19,527",99.2%,67.1%,90.8%,98.0%,7288.0,27.2%,43.1%,"₹24,48,766",6.77,₹119.28,"1,42,028",27.162610413327865
Chandra Layout,"50,247","49,912","34,372","28,748",28165.0,"19,187",99.3%,68.9%,83.6%,98.0%,8972.0,31.9%,38.2%,"₹24,56,871",7.12,₹124.05,"1,41,833",31.855139357358425
Herohalli,"47,952","47,600","29,755","26,798",26192.0,"18,276",99.3%,62.5%,90.1%,97.7%,7916.0,30.2%,38.1%,"₹27,24,334",9.7,₹162.35,"1,62,105",30.222968845448996
Agrahara Dasarahalli,"43,027","42,536","27,331","25,002",24554.0,"18,053",98.9%,64.3%,91.5%,98.2%,6496.0,26.5%,42.0%,"₹24,01,294",7.51,₹127.94,"1,39,769",26.4559745866254
Puneet Rajkumar,"45,863","45,416","30,747","26,816",26265.0,"18,033",99.0%,67.7%,87.2%,97.9%,8224.0,31.3%,39.3%,"₹21,48,483",6.3,₹112.20,"1,23,322",31.31163144869598
Nandini Layout,"44,061","43,724","30,100","26,165",25692.0,"17,747",99.2%,68.8%,86.9%,98.2%,7935.0,30.9%,40.3%,"₹22,03,322",7.98,₹136.49,"1,27,506",30.885100420364314
Binnipete,"59,606","59,100","43,772","30,868",30446.0,"17,157",99.2%,74.1%,70.5%,98.6%,13280.0,43.6%,28.8%,"₹21,73,390",6.03,₹109.08,"1,24,006",43.6182092885765
Nagavara,"68,797","68,313","48,922","29,950",29541.0,"17,006",99.3%,71.6%,61.2%,98.6%,12528.0,42.4%,24.7%,"₹21,28,376",6.27,₹115.24,"1,18,358",42.408855488981416
Rajagopal Nagar,"49,249","48,787","35,227","25,452",24943.0,"16,453",99.1%,72.2%,72.3%,98.0%,8483.0,34.0%,33.4%,"₹21,43,115",6.57,₹116.78,"1,24,679",34.00954175520186
Ranadheera Kanteerava,"46,845","46,412","30,623","25,551",24906.0,"16,164",99.1%,66.0%,83.4%,97.5%,8733.0,35.1%,34.5%,"₹19,33,328",6.37,₹112.10,"1,11,080",35.06384003854493
Hongasandra,"66,045","65,467","52,043","27,198",26768.0,"15,798",99.1%,79.5%,52.3%,98.4%,10964.0,41.0%,23.9%,"₹23,11,899",7.83,₹141.91,"1,31,471",40.9593544530783
Cottonpete,"67,650","66,994","50,956","32,826",32405.0,"15,118",99.0%,76.1%,64.4%,98.7%,17281.0,53.3%,22.4%,"₹20,35,209",6.58,₹118.78,"1,17,399",53.328190094121275
Dayananda Nagar,"35,860","35,491","25,987","20,503",20224.0,"13,486",99.0%,73.2%,78.9%,98.6%,6736.0,33.3%,37.6%,"₹14,87,424",5.72,₹103.47,"83,810",33.30696202531646
Mudalapalya,"34,182","33,913","21,506","19,335",18953.0,"12,984",99.2%,63.4%,89.9%,98.0%,5964.0,31.5%,38.0%,"₹16,22,413",5.85,₹105.07,"93,384",31.467313881707383
Nayandahalli,"41,688","41,360","27,115","20,901",20511.0,"12,926",99.2%,65.6%,77.1%,98.1%,7576.0,36.9%,31.0%,"₹18,26,005",9.05,₹160.09,"1,05,622",36.9362780946809
Venkateshpura,"53,359","53,147","41,072","23,750",23529.0,"12,897",99.6%,77.3%,57.8%,99.1%,10623.0,45.1%,24.2%,"₹14,53,487",6.19,₹112.54,"79,501",45.148540099451736
Azad Nagar,"39,763","39,483","28,953","21,302",20954.0,"12,675",99.3%,73.3%,73.6%,98.4%,8270.0,39.5%,31.9%,"₹15,32,784",7.01,₹125.33,"87,562",39.46740479144793
Jai Maruthinagara,"33,022","32,752","22,329","19,042",18500.0,"12,151",99.2%,68.2%,85.3%,97.2%,6338.0,34.3%,36.8%,"₹13,97,378",5.52,₹100.04,"79,844",34.25945945945946
Sunkadakatte,"34,069","33,799","21,816","18,322",17930.0,"11,471",99.2%,64.5%,84.0%,97.9%,6451.0,36.0%,33.7%,"₹14,85,675",7.0,₹138.03,"85,935",35.97880646960402
Mallasandra,"35,455","35,213","25,485","17,802",17359.0,"11,329",99.3%,72.4%,69.8%,97.5%,6028.0,34.7%,31.9%,"₹13,98,636",6.89,₹121.69,"80,245",34.72550262111873
Veera Sindhura Lakshamana,"33,045","32,761","21,258","17,405",17019.0,"11,116",99.1%,64.9%,81.9%,97.8%,5900.0,34.7%,33.6%,"₹13,59,938",6.11,₹109.98,"78,414",34.667136729537575
Kaveripura,"28,034","27,744","18,644","15,486",15239.0,"9,824",99.0%,67.2%,83.1%,98.4%,5412.0,35.5%,35.0%,"₹13,13,810",7.12,₹123.67,"76,749",35.51414134785747
Hegganahalli,"29,838","29,557","19,390","15,783",15383.0,"9,628",99.1%,65.6%,81.4%,97.5%,5750.0,37.4%,32.3%,"₹12,61,951",8.58,₹149.67,"73,342",37.37892478710265
Vrisabhavathi Nagar,"27,199","26,940","17,322","14,909",14631.0,"9,475",99.1%,64.3%,86.1%,98.1%,5149.0,35.2%,34.8%,"₹11,45,896",6.27,₹110.72,"65,907",35.19239969926868
Rajeshwari Nagar,"28,779","28,581","18,659","14,870",14391.0,"9,020",99.3%,65.3%,79.7%,96.8%,5365.0,37.3%,31.3%,"₹10,82,889",6.25,₹112,"62,331",37.28024459731777
Muneshwara Nagar,"34,615","34,416","25,294","15,178",15016.0,"8,025",99.4%,73.5%,60.0%,98.9%,6985.0,46.5%,23.2%,"₹9,67,405",6.62,₹122.02,"53,837",46.517048481619604
Jagajivanaram Nagar,"26,740","26,526","19,388","13,672",13471.0,"6,957",99.2%,73.1%,70.5%,98.5%,6512.0,48.3%,26.0%,"₹9,32,470",9.07,₹155.48,"53,891",48.340880409769134
Lakshmi Devi Nagar,"19,623","19,467","12,660","10,597",10356.0,"6,580",99.2%,65.0%,83.7%,97.7%,3774.0,36.4%,33.5%,"₹7,84,021",7.66,₹133.48,"44,959",36.44264194669757
S K Garden,"28,317","28,182","21,614","11,877",11800.0,"6,492",99.5%,76.7%,54.9%,99.4%,5305.0,45.0%,22.9%,"₹8,17,438",7.25,₹132.63,"45,511",44.95762711864407
Chalavadipalya,"23,758","23,618","17,271","11,491",11350.0,"6,328",99.4%,73.1%,66.5%,98.8%,5013.0,44.2%,26.6%,"₹8,14,489",6.59,₹121.66,"46,499",44.16740088105727
Padarayanapura,"20,946","20,772","14,648","10,189",9934.0,"5,098",99.2%,70.5%,69.6%,97.5%,4830.0,48.6%,24.3%,"₹7,11,850",8.93,₹157.83,"40,182",48.620897926313674
Bapuji Nagar,"18,887","18,768","12,466","9,740",9629.0,"5,074",99.4%,66.4%,78.1%,98.9%,4552.0,47.3%,26.9%,"₹6,34,454",6.99,₹128.51,"36,059",47.27386021393706
Kempapura Agrahara,"16,628","16,463","11,059","8,049",7934.0,"4,452",99.0%,67.2%,72.8%,98.6%,3479.0,43.9%,26.8%,"₹5,20,021",6.26,₹112.07,"29,348",43.84925636501134
Devaraj Urs Nagar,"17,831","17,746","12,387","8,865",8724.0,"4,040",99.5%,69.8%,71.6%,98.4%,4683.0,53.7%,22.7%,"₹5,07,415",5.45,₹97.72,"28,547",53.67950481430537
Devara Jeevanahalli,"9,611","9,548","7,245","3,770",3730.0,"1,407",99.3%,75.9%,52.0%,98.9%,2323.0,62.3%,14.6%,"₹1,90,579",5.9,₹114,"10,687",62.27882037533512
Bangalore Total,"6,73,34,064","6,64,43,051","5,29,16,372","3,00,17,755",29453513.0,"1,86,28,581",98.7%,79.6%,56.7%,98.1%,10817296.0,36.7%,27.7%,"₹2,67,99,10,491",8.16,₹143.86,"15,20,07,679",36.72667501496341
